


Vintage,Name,Producer,Appellation,Varietal,Size,Quantity,Price,Stored,Notes
2004,Fanti-San Filippo Brunello di Montalcino Le Lucere,Fanti - Tenuta San Filippo,Brunello di Montalcino,Sangiovese,750,,,, Brad & Erica Sklar:  Family TG georgios Family 
2011,Il Marroneto Brunello di Montalcino,Il Marroneto di Mori Alessandro,Brunello di Montalcino,Brunello,750,1,49,,
2011,Il Marroneto Brunello di Montalcino,Il Marroneto di Mori Alessandro,Brunello di Montalcino,Brunello,750,,,, Brad & Erica Sklar: 4.5 stars  fri night Pizza homemade Brad/Erica evolved complex supple full-bodied well balanced 
2010,Il Poggione Brunello di Montalcino,Tenuta Il Poggione,Brunello di Montalcino,Brunello,750,2,67.99,,RP 98
WS 95 
2016,La Gerla Brunello di Montalcino,Fattoria La Gerla,Brunello di Montalcino,Brunello,750,2,47.5,,
2012,La Magia Brunello di Montalcino,La Fattoria La Magia,Brunello di Montalcino,Brunello,750,1,34.99,,96 Pt JS 
2004,Piancornello Brunello di Montalcino Riserva,Azienda Agraria Piancornello di Pieri Silvana,Brunello di Montalcino,Brunello,750,1,39.99,,WS 94 points RP 93 points
2010,San Polino Brunello di Montalcino Helichrysum,San Polino,Brunello di Montalcino,Sangiovese,750,1,99.99,,100 points JS 
2011,Tenuta Vitanza Brunello di Montalcino Riserva Andretta,Tenuta Vitanza,Brunello di Montalcino,Sangiovese,750,1,39.99,,
2005,Valdicava Brunello di Montalcino,Tenuta Valdicava,Brunello di Montalcino,Brunello,750,2,59,,
2007,Da Vinci Chianti,Cantine Leonardo da Vinci,Chianti,Sangiovese-Merlot-Syrah,750,,,, Brad & Erica Sklar: 3 stars  geoff party cheese geoff, mary, ron, julie deep fragrant supple medium-bodied well balanced 
2006,Ruffino Chianti Classico Riserva Ducale Oro,Ruffino,Chianti Classico,Sangiovese-Merlot-Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4 stars  Geoff n Julie Georgios/Cafe canoli dessert Geoff/E/Julie dark fragrant supple well balanced 
2006,Ruffino Chianti Classico Riserva Ducale Oro,Ruffino,Chianti Classico,Sangiovese-Merlot-Cabernet Sauvignon,750,,,, Brad & Erica Sklar: 4.5 stars  nick and pasqualle nick and pasqualle bruchetta deep fragrant supple medium-bodied well balanced 
2010,Ruffino Chianti Classico Riserva Ducale Oro,Ruffino,Chianti Classico,Sangiovese-Merlot-Cabernet Sauvignon,750,1,30.95,,
